OBJECT_NAME,NORAD_CAT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,TLE_LINE1,TLE_LINE2
COSMOS 2251,22675,PAYLOAD,2009-01-29 12:34:02.025120+00:00,14.31135663,0.0016299,74.0352,39.4542,122.223,238.0503,1 22675U 93036A   09029.52363455  .00000031  00000-0  21643-4 0  9990,2 22675 074.0352 039.4542 0016299 122.2230 238.0503 14.31135663815841
COSMOS 2251,22675,PAYLOAD,2009-01-30 10:22:36.649631+00:00,14.31135626,0.0016293,74.0354,37.7994,120.2768,239.9996,1 22675U 93036A   09030.43236863 +.00000017 +00000-0 +16116-4 0  9997,2 22675 074.0354 037.7994 0016293 120.2768 239.9996 14.31135626815972
COSMOS 2251,22675,PAYLOAD,2009-01-30 23:47:53.332799+00:00,14.31135761,0.0016276,74.0354,36.7807,119.1712,241.1085,1 22675U 93036A   09030.99158950  .00000021  00000-0  17907-4 0  9992,2 22675 074.0354 036.7807 0016276 119.1712 241.1085 14.31135761816055
IRIDIUM 33,24946,PAYLOAD,2009-01-31 08:46:40.040543+00:00,14.34217587,0.0002215,86.4005,125.6347,82.3699,277.7748,1 24946U 97051C   09031.36574121  .00000219  00000-0  70983-4 0  9992,2 24946 086.4005 125.6347 0002215 082.3699 277.7748 14.34217587595985
COSMOS 2251,22675,PAYLOAD,2009-01-31 11:32:30.430464+00:00,14.3113543,0.0016204,74.0349,35.8887,117.9997,242.2782,1 22675U 93036A   09031.48090776 -.00000009 +00000-0 +64214-5 0  9999,2 22675 074.0349 035.8887 0016204 117.9997 242.2782 14.31135430816126
IRIDIUM 33,24946,PAYLOAD,2009-01-31 18:49:28.019712+00:00,14.34217722,0.0002197,86.3991,125.4601,85.4735,274.6709,1 24946U 97051C   09031.78435208 +.00000181 +00000-0 +57613-4 0  9993,2 24946 086.3991 125.4601 0002197 085.4735 274.6709 14.34217722596045
COSMOS 2251,22675,PAYLOAD,2009-02-01 07:40:25.472927+00:00,14.31135392,0.0016243,74.0352,34.3612,116.465,243.8159,1 22675U 93036A   09032.31973927 -.00000014  00000-0  46556-5 0  9995,2 22675 074.0352 034.3612 0016243 116.4650 243.8159 14.31135392816248
IRIDIUM 33,24946,PAYLOAD,2009-02-01 14:55:04.019519+00:00,14.34217806,0.0002196,86.3989,125.1104,85.2479,274.8967,1 24946U 97051C   09032.62157430  .00000148  00000-0  45622-4 0  9995,2 24946 086.3989 125.1104 0002196 085.2479 274.8967 14.34217806596163
IRIDIUM 33,24946,PAYLOAD,2009-02-01 19:56:27.996576+00:00,14.34218038,0.0002216,86.3988,125.0229,85.6935,274.4512,1 24946U 97051C   09032.83087959 +.00000179 +00000-0 +56848-4 0  9992,2 24946 086.3988 125.0229 0002216 085.6935 274.4512 14.34218038596196
COSMOS 2251,22675,PAYLOAD,2009-02-01 22:46:21.776160+00:00,14.31135348,0.001619,74.0349,33.2152,114.9897,245.2939,1 22675U 93036A   09032.94886315 -.00000017 +00000-0 +33523-5 0  9991,2 22675 074.0349 033.2152 0016190 114.9897 245.2939 14.31135348816331
